meeting,date,race_number,dataset,split,venue,distance,field_size,segments,top2_hits,top3_hits,top3_capture_at4,top3_capture_at5,top3_all_within_top5,winner_model_rank,ndcg_at5,competitive_recall_at5,what_model_got_wrong,underrated_horses,severely_underrated_horses,overrated_horses,missed_signals,primary_cause,systematic_or_race_specific,model_change_assessment,mean_actual_top3_uncertainty,annotation_flags,annotation_notes,excluded_from_adjusted
2026-04-12_ShaTin,2026-04-12,1,archive,archive_development,沙田,1000,6,沙田直路1000米 | 新馬賽,1,1,0.6667,0.6667,False,1,0.7911,0.6667,模型頭兩選只捕捉一匹實際前三，模型前五捕捉2匹實際前三,#5 雙劍合璧（模型6／實際2） | #6 精英奪冠（模型4／實際3）,#5 雙劍合璧（模型6／實際2）,#1 嘉應感恩（模型2／實際6）,班次／負磅context +3.50,直路賽專屬轉化不足,場次特定／樣本不足,暫不改模型；單場修正過擬合風險高,0.7885,,,False
2026-04-12_ShaTin,2026-04-12,4,archive,archive_development,沙田,1400,14,,0,1,0.3333,0.3333,False,10,0.1781,0.4,模型頭兩選全數落空，模型前五捕捉1匹實際前三,#2 開心老闆（模型10／實際1） | #3 醒目先駒（模型3／實際2） | #5 創寶駒（模型9／實際3）,#2 開心老闆（模型10／實際1） | #5 創寶駒（模型9／實際3）,#14 全神貫注（模型1／實際7）,班次／負磅context +4.99 | form line +3.50,班次／負磅context辨識不足,場次特定／樣本不足,暫不改模型；單場修正過擬合風險高,0.3992,,,False
2026-04-12_ShaTin,2026-04-12,5,archive,archive_development,沙田,1200,12,,0,1,0.3333,0.3333,False,3,0.3809,0.5,模型頭兩選全數落空，模型前五捕捉1匹實際前三,#5 輝灑自如（模型3／實際1） | #1 辣得準（模型7／實際2） | #10 華麗再贏（模型6／實際3）,#1 辣得準（模型7／實際2） | #10 華麗再贏（模型6／實際3）,#3 錶之浩瀚（模型1／實際5）,,已標註異常賽果,系統性,保留作異常案例研究；唔以此場直接改模型,0.581,extreme_outsider,extreme_outsider: #10 華麗再贏 actual 3／odds 51,True
2026-04-12_ShaTin,2026-04-12,7,archive,archive_development,沙田,1400,14,,1,1,0.6667,0.6667,False,8,0.304,0.6,模型頭兩選只捕捉一匹實際前三，模型前五捕捉2匹實際前三,#13 豐功偉績（模型8／實際1） | #3 哥倫布（模型4／實際2）,#13 豐功偉績（模型8／實際1）,,,整體競爭群辨識不足,系統性,建立賽前訊號候選並做 temporal holdout；未通過前唔改主線,0.3875,,,False
2026-04-12_ShaTin,2026-04-12,8,archive,archive_development,沙田,1600,12,,1,1,0.6667,0.6667,False,1,0.862,0.75,模型頭兩選只捕捉一匹實際前三，模型前五捕捉2匹實際前三,#1 英駿飛駒（模型4／實際2） | #12 魅力知耀（模型9／實際3）,#12 魅力知耀（模型9／實際3）,#4 安都（模型2／實際8）,,已標註異常賽果,系統性,保留作異常案例研究；唔以此場直接改模型,0.403,interference,interference: #4 安都: 8 4 安都 (K033) 最後三百五十米受困而未能望空。賽後須抽取樣本檢驗。,True
2026-04-15_HappyValley,2026-04-15,1,archive,archive_development,跑馬地,1000,12,,1,2,1.0,1.0,True,3,0.6187,0.75,模型頭兩選只捕捉一匹實際前三，但實際前三仍全部位於模型前五,#6 喆喆友福（模型3／實際1） | #4 辣得金（模型4／實際3）,,#3 幸運傳承（模型1／實際7）,,競爭層已捕捉但頭二排序不足,系統性,建立賽前訊號候選並做 temporal holdout；未通過前唔改主線,0.438,,,False
2026-04-15_HappyValley,2026-04-15,2,archive,archive_development,跑馬地,1650,12,,1,2,0.6667,0.6667,False,2,0.6073,0.5,模型頭兩選只捕捉一匹實際前三，模型前五捕捉2匹實際前三,#7 東方寶寶（模型3／實際2） | #3 小皇爺（模型7／實際3）,#3 小皇爺（模型7／實際3）,#9 龍又生（模型1／實際6）,form line +4.39,已標註異常賽果,系統性,保留作異常案例研究；唔以此場直接改模型,0.488,extreme_outsider,extreme_outsider: #3 小皇爺 actual 3／odds 39,True
2026-04-15_HappyValley,2026-04-15,3,archive,archive_development,跑馬地,1650,12,,1,1,0.3333,0.3333,False,1,0.7228,0.5,模型頭兩選只捕捉一匹實際前三，模型前五捕捉1匹實際前三,#10 時間寶（模型8／實際2） | #11 爆竹（模型9／實際3）,#10 時間寶（模型8／實際2） | #11 爆竹（模型9／實際3）,#4 先到先得（模型2／實際6）,,資料稀薄／不確定性處理不足,場次特定／樣本不足,暫不改模型；單場修正過擬合風險高,0.7101,,,False
2026-04-15_HappyValley,2026-04-15,4,archive,archive_development,跑馬地,1800,12,,0,1,0.3333,0.6667,False,3,0.525,0.75,模型頭兩選全數落空，模型前五捕捉2匹實際前三,#4 香港神駒（模型3／實際1） | #10 竣誠駒（模型5／實際2） | #11 夢照發（模型6／實際3）,#11 夢照發（模型6／實際3）,#7 獎星（模型2／實際10）,,已標註異常賽果,系統性,保留作異常案例研究；唔以此場直接改模型,0.7504,interference,interference: #7 獎星: 10 7 獎星 (H087) 接近三百米處時，「大千氣象」（莫雷拉）向外移出以推進，導致此駒被略為帶向外跑，但其後須勒避開始墮退的「龍船快」。由於小組認為莫雷拉有權讓坐騎在三百米處前向外移出，因此不採取行動。此駒因而在三百米處至二百米處之間嚴重受困而未能望空。,True
2026-04-15_HappyValley,2026-04-15,5,archive,archive_development,跑馬地,1650,11,,1,1,0.3333,0.3333,False,2,0.4433,0.25,模型頭兩選只捕捉一匹實際前三，模型前五捕捉1匹實際前三,#4 做好自己（模型6／實際2） | #10 知道穩勝（模型7／實際3）,#4 做好自己（模型6／實際2） | #10 知道穩勝（模型7／實際3）,#3 龍文鞭影（模型1／實際6）,,資料稀薄／不確定性處理不足,場次特定／樣本不足,暫不改模型；單場修正過擬合風險高,0.7269,,,False
2026-04-15_HappyValley,2026-04-15,6,archive,archive_development,跑馬地,1200,10,,0,0,0.3333,0.3333,False,7,0.0605,0.25,模型頭兩選全數落空，模型前五捕捉1匹實際前三,#3 勇霸龍（模型7／實際1） | #9 快樂神駒（模型10／實際2） | #1 馬達（模型4／實際3）,#3 勇霸龍（模型7／實際1） | #9 快樂神駒（模型10／實際2）,#8 川河石駒（模型1／實際5） | #7 方圓星（模型2／實際8）,,資料稀薄／不確定性處理不足,場次特定／樣本不足,暫不改模型；單場修正過擬合風險高,0.6964,,,False
2026-04-15_HappyValley,2026-04-15,7,archive,archive_development,跑馬地,1200,12,,1,1,0.6667,0.6667,False,10,0.2767,0.75,模型頭兩選只捕捉一匹實際前三，模型前五捕捉2匹實際前三,#11 環球英雄（模型10／實際1） | #1 當家精彩（模型4／實際2）,#11 環球英雄（模型10／實際1）,,,資料稀薄／不確定性處理不足,場次特定／樣本不足,暫不改模型；單場修正過擬合風險高,0.713,,,False
2026-04-15_HappyValley,2026-04-15,8,archive,archive_development,跑馬地,1650,11,,1,2,0.6667,0.6667,False,6,0.3226,0.75,模型頭兩選只捕捉一匹實際前三，模型前五捕捉2匹實際前三,#11 榮利雙收（模型6／實際1） | #9 浪漫鬥士（模型3／實際2）,#11 榮利雙收（模型6／實際1）,#7 電訊巴打（模型2／實際11）,,資料稀薄／不確定性處理不足,場次特定／樣本不足,暫不改模型；單場修正過擬合風險高,0.7394,,,False
2026-04-15_HappyValley,2026-04-15,9,archive,archive_development,跑馬地,1200,12,,1,1,0.6667,0.6667,False,7,0.3052,0.75,模型頭兩選只捕捉一匹實際前三，模型前五捕捉2匹實際前三,#7 嘉應勇將（模型7／實際1） | #6 關鍵所在（模型4／實際2）,#7 嘉應勇將（模型7／實際1）,#2 幸運星球（模型2／實際7）,,資料稀薄／不確定性處理不足,場次特定／樣本不足,暫不改模型；單場修正過擬合風險高,0.7021,,,False
2026-04-19_ShaTin,2026-04-19,1,archive,archive_development,沙田,1800,14,,1,1,0.3333,0.6667,False,2,0.5776,0.6,模型頭兩選只捕捉一匹實際前三，模型前五捕捉2匹實際前三,#4 風起雲湧（模型5／實際2） | #11 開心三多（模型7／實際3）,#11 開心三多（模型7／實際3）,,,已標註異常賽果,系統性,保留作異常案例研究；唔以此場直接改模型,0.4441,interference,interference: #8 香港精神: 10 8 香港精神 (D241) 接近千二米處時收慢避開「十力」。四百米處至三百米處之間受困而未能望空。,True
2026-04-19_ShaTin,2026-04-19,3,archive,archive_development,沙田,1000,14,沙田直路1000米,0,0,0.0,0.0,False,6,0.0,0.0,模型頭兩選全數落空，模型前五亦未捕捉任何實際前三,#4 勝萬金（模型6／實際1） | #7 支付之父（模型12／實際2） | #1 日出東方（模型8／實際3）,#4 勝萬金（模型6／實際1） | #7 支付之父（模型12／實際2） | #1 日出東方（模型8／實際3）,#9 步步合拍（模型1／實際10） | #11 飛來霸（模型2／實際11）,班次／負磅context +4.26,直路賽專屬轉化不足,場次特定／樣本不足,暫不改模型；單場修正過擬合風險高,0.5203,,,False
2026-04-19_ShaTin,2026-04-19,4,archive,archive_development,沙田,1400,14,,1,1,0.3333,0.6667,False,11,0.2239,0.4,模型頭兩選只捕捉一匹實際前三，模型前五捕捉2匹實際前三,#11 洪才（模型11／實際1） | #10 有情有義（模型5／實際2）,#11 洪才（模型11／實際1）,#1 輕功猛男（模型1／實際6）,,整體競爭群辨識不足,系統性,建立賽前訊號候選並做 temporal holdout；未通過前唔改主線,0.3976,,,False
2026-04-19_ShaTin,2026-04-19,6,archive,archive_development,沙田,1650,14,,1,1,0.6667,0.6667,False,4,0.4002,0.6,模型頭兩選只捕捉一匹實際前三，模型前五捕捉2匹實際前三,#9 花開（模型4／實際1） | #11 林寶精神（模型8／實際2）,#11 林寶精神（模型8／實際2）,#5 有派頭（模型1／實際6）,form line +3.46,form line辨識不足,場次特定／樣本不足,暫不改模型；單場修正過擬合風險高,0.4216,,,False
2026-04-19_ShaTin,2026-04-19,10,archive,archive_development,沙田,1200,12,,1,2,1.0,1.0,True,1,0.9271,0.75,模型頭兩選只捕捉一匹實際前三，但實際前三仍全部位於模型前五,#7 千杯不醉（模型3／實際2） | #3 嘉應奇兵（模型4／實際3）,,#10 官金騏（模型2／實際8）,,競爭層已捕捉但頭二排序不足,系統性,建立賽前訊號候選並做 temporal holdout；未通過前唔改主線,0.3924,,,False
2026-04-19_ShaTin,2026-04-19,11,archive,archive_development,沙田,1800,14,,1,2,0.6667,0.6667,False,8,0.346,0.6,模型頭兩選只捕捉一匹實際前三，模型前五捕捉2匹實際前三,#14 海上大軍（模型8／實際1） | #12 嘉應傳承（模型3／實際2）,#14 海上大軍（模型8／實際1）,#4 錶之宇宙（模型2／實際11）,,整體競爭群辨識不足,系統性,建立賽前訊號候選並做 temporal holdout；未通過前唔改主線,0.514,,,False
