meeting,race_number,extreme_outsider,major_incident,interference,injury,abnormal,notes
2026-04-12_ShaTin,1,False,False,False,False,False,
2026-04-12_ShaTin,2,False,False,False,False,False,
2026-04-12_ShaTin,3,False,False,False,False,False,
2026-04-12_ShaTin,4,False,False,False,False,False,
2026-04-12_ShaTin,5,True,False,False,False,False,extreme_outsider: #10 華麗再贏 actual 3／odds 51
2026-04-12_ShaTin,6,False,False,False,False,False,
2026-04-12_ShaTin,7,False,False,False,False,False,
2026-04-12_ShaTin,8,False,False,True,False,False,interference: #4 安都: 8 4 安都 (K033) 最後三百五十米受困而未能望空。賽後須抽取樣本檢驗。
2026-04-12_ShaTin,9,False,False,False,False,False,
2026-04-12_ShaTin,11,False,False,False,False,False,
2026-04-15_HappyValley,1,False,False,False,False,False,
2026-04-15_HappyValley,2,True,False,False,False,False,extreme_outsider: #3 小皇爺 actual 3／odds 39
2026-04-15_HappyValley,3,False,False,False,False,False,
2026-04-15_HappyValley,4,False,False,True,False,False,interference: #7 獎星: 10 7 獎星 (H087) 接近三百米處時，「大千氣象」（莫雷拉）向外移出以推進，導致此駒被略為帶向外跑，但其後須勒避開始墮退的「龍船快」。由於小組認為莫雷拉有權讓坐騎在三百米處前向外移出，因此不採取行動。此駒因而在三百米處至二百米處之間嚴重受困而未能望空。
2026-04-15_HappyValley,5,False,False,False,False,False,
2026-04-15_HappyValley,6,False,False,False,False,False,
2026-04-15_HappyValley,7,False,False,False,False,False,
2026-04-15_HappyValley,8,False,False,False,False,False,
2026-04-15_HappyValley,9,False,False,False,False,False,
2026-04-19_ShaTin,1,False,False,True,False,False,interference: #8 香港精神: 10 8 香港精神 (D241) 接近千二米處時收慢避開「十力」。四百米處至三百米處之間受困而未能望空。
2026-04-19_ShaTin,2,False,False,False,False,False,
2026-04-19_ShaTin,3,False,False,False,False,False,
2026-04-19_ShaTin,4,False,False,False,False,False,
2026-04-19_ShaTin,5,False,False,False,False,False,
2026-04-19_ShaTin,6,False,False,False,False,False,
2026-04-19_ShaTin,7,False,False,False,False,False,
2026-04-19_ShaTin,9,False,False,False,False,False,
2026-04-19_ShaTin,10,False,False,False,False,False,
2026-04-19_ShaTin,11,False,False,False,False,False,
2026-04-22_HappyValley,1,False,False,False,False,False,
2026-04-22_HappyValley,3,False,False,False,False,False,
2026-04-22_HappyValley,4,True,False,False,False,False,extreme_outsider: #2 團長好 actual 2／odds 48
2026-04-22_HappyValley,5,False,False,False,False,False,
2026-04-22_HappyValley,6,True,False,False,False,False,extreme_outsider: #7 天火同人 actual 3／odds 40
2026-04-22_HappyValley,7,False,False,False,False,False,
2026-04-22_HappyValley,8,False,False,False,False,False,
2026-04-22_HappyValley,9,False,False,False,False,False,
2026-04-26_ShaTin,1,False,False,False,False,False,
2026-04-26_ShaTin,2,False,False,False,False,False,
2026-04-26_ShaTin,3,False,True,False,False,False,major_incident: #1 超和平: 8 1 超和平 (L226) 入閘困難，賽事因而延遲開跑。梁家俊表示，坐騎出閘僅屬一般，因此他須於早段催策坐騎以按指示讓坐騎上前領放。他說，因此坐騎在直路上受催策時難以對催策交出反應，尤其是坐騎負最重磅一百三十二磅，在直路上墮退時抗拒對手踢起的泥頭。練馬師巫偉傑認同梁家俊的解釋，並告知小組，他滿意此駒是賽前的表現。「超和平」上仗勝出，小組認為此駒今仗的閘廂行
2026-04-26_ShaTin,4,True,False,False,False,False,extreme_outsider: #14 星光快驅 actual 3／odds 54
2026-04-26_ShaTin,5,True,False,False,False,False,extreme_outsider: #2 里見夢境 actual 2／odds 90 || #5 精算暴雪 actual 3／odds 345
2026-04-26_ShaTin,6,False,False,True,False,False,interference: #6 健康快車: 11 6 健康快車 (H439) 二百五十米處至一百五十米處之間受困而未能望空。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026-04-26_ShaTin,7,True,False,True,False,False,extreme_outsider: #9 百賀飛駒 actual 2／odds 37 | interference: #14 小鳥天堂: 10 14 小鳥天堂 (K246) 四百米處至二百米處之間在「金鑽貴人」之後嚴重受困而未能望空。接近一百米處時在一段途程上在移至「合夥奔馳」外側之際難以望空。
2026-04-26_ShaTin,8,False,False,False,False,False,
2026-04-26_ShaTin,9,False,False,False,False,False,
2026-04-26_ShaTin,10,False,False,False,False,False,
2026-04-26_ShaTin,11,False,False,False,False,False,
2026-04-29_HappyValley,1,False,False,False,False,False,
2026-04-29_HappyValley,2,False,False,False,False,False,
2026-04-29_HappyValley,3,True,False,True,False,False,extreme_outsider: #10 佰勝金龍 actual 1／odds 88 | interference: #9 禾道威: 6 9 禾道威 (J463) 早段及中段搶口。過了六百米處後在收慢避開墮退的「揀馬之皇」之際失地，因而向外斜跑及與「八駿笑昇」互相觸碰。三百米處至二百米處之間在「君智盛」之後嚴重受困而未能望空。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。賽後須抽取樣本檢驗。
2026-04-29_HappyValley,4,False,False,False,False,False,
2026-04-29_HappyValley,5,False,False,False,False,False,
2026-04-29_HappyValley,6,False,False,False,False,False,
2026-04-29_HappyValley,7,False,False,False,False,False,
2026-04-29_HappyValley,8,False,False,False,False,False,
2026-04-29_HappyValley,9,False,False,False,False,False,
2026-05-03_ShaTin,1,True,False,False,False,False,extreme_outsider: #9 八里旺 actual 2／odds 34
2026-05-03_ShaTin,2,False,False,False,False,False,
2026-05-03_ShaTin,3,False,False,False,False,False,
2026-05-03_ShaTin,4,False,False,False,False,False,
2026-05-03_ShaTin,5,False,False,False,False,False,
2026-05-03_ShaTin,6,False,False,False,False,False,
2026-05-03_ShaTin,7,True,False,False,False,False,extreme_outsider: #5 赤風驪 actual 2／odds 34
2026-05-03_ShaTin,8,False,False,False,False,False,
2026-05-03_ShaTin,9,False,False,False,False,False,
2026-05-03_ShaTin,10,False,False,False,False,False,
2026-05-03_ShaTin,11,False,False,False,False,False,
2026-05-06_ShaTin,1,True,False,False,False,False,extreme_outsider: #13 東方魅影 actual 2／odds 59
2026-05-06_ShaTin,2,False,False,False,False,False,
2026-05-06_ShaTin,3,False,False,False,False,False,
2026-05-06_ShaTin,4,False,False,False,False,False,
2026-05-06_ShaTin,5,False,False,False,False,False,
